Accesion	Protein Description	Genes	# of Peptides	1-sort	2-sort	3-sort	4-sort		1-unsort	2-unsort	3-unsort	4-unsort
Q61937	Nucleophosmin	Npm1	23	2.15E+08	2.16E+08	1.39E+08	1.42E+08		2.11E+08	2.17E+08	1.53E+08	1.39E+08
P14115	60S ribosomal protein L27a	Rpl27a	11	2.16E+08	2.14E+08	2.03E+08	1.45E+08		2.27E+08	2.27E+08	1.71E+08	2.16E+08
P62889	60S ribosomal protein L30	Rpl30	10	1.28E+08	2.11E+08	1.15E+08	9.45E+07		1.46E+08	1.43E+08	6.54E+07	1.01E+08
P43276	Histone H1.5	H1-5	8	2.71E+08	2.05E+08	2.52E+08	2.05E+08		2.79E+08	2.16E+08	2.09E+08	2.22E+08
P62852	40S ribosomal protein S25	Rps25	9	1.80E+08	2.05E+08	1.45E+08	1.50E+08		1.89E+08	1.88E+08	1.15E+08	1.60E+08
P63038	"60 kDa heat shock protein, mitochondrial"	Hspd1	56	1.73E+08	2.04E+08	1.94E+08	1.76E+08		1.74E+08	1.63E+08	1.65E+08	1.88E+08
P99024	Tubulin beta-5 chain	Tubb5	4	2.04E+08	2.02E+08	2.01E+08	2.40E+08		1.71E+08	1.86E+08	1.99E+08	2.44E+08
P68372;P99024;Q7TMM9;Q9CWF2;Q9D6F9	Tubulin beta-4B chain	Tubb2a;Tubb2b;Tubb4a;Tubb4b;Tubb5	7	1.13E+08	1.96E+08	1.88E+08	1.73E+08		1.63E+08	2.15E+08	1.70E+08	2.73E+08
P47963	60S ribosomal protein L13	Rpl13	17	2.06E+08	1.92E+08	1.58E+08	1.60E+08		2.12E+08	1.94E+08	1.43E+08	1.81E+08
P07356	Annexin A2	Anxa2	33	1.86E+08	1.89E+08	2.08E+08	2.25E+08		1.89E+08	1.80E+08	2.03E+08	2.18E+08
O08810;P58252	116 kDa U5 small nuclear ribonucleoprotein component	Eef2;Eftud2	1	2.05E+08	1.89E+08	9.58E+07	1.56E+08		2.10E+08	2.34E+08	1.24E+08	1.45E+08
P09411	Phosphoglycerate kinase 1	Pgk1	48	2.08E+08	1.88E+08	1.65E+08	2.06E+08		2.20E+08	1.93E+08	1.89E+08	2.22E+08
Q9DBJ1	Phosphoglycerate mutase 1	Pgam1	19	1.46E+08	1.85E+08	1.75E+08	2.08E+08		1.52E+08	1.59E+08	1.69E+08	2.32E+08
P62827	GTP-binding nuclear protein Ran	Ran	16	1.56E+08	1.83E+08	1.62E+08	1.62E+08		1.78E+08	1.70E+08	1.43E+08	1.70E+08
P58252	Elongation factor 2	Eef2	70	1.64E+08	1.81E+08	1.35E+08	1.39E+08		1.66E+08	1.95E+08	1.17E+08	1.52E+08
P14131	40S ribosomal protein S16	Rps16	16	1.39E+08	1.74E+08	1.26E+08	1.64E+08		1.54E+08	1.68E+08	1.25E+08	1.63E+08
P03995;P20152;P50446;Q3UV17;Q8VED5;Q922U2;Q9DCV7	Glial fibrillary acidic protein	Gfap;Krt5;Krt6a;Krt7;Krt76;Krt79;Vim	1	1.76E+08	1.74E+08	1.54E+08	1.56E+08		1.81E+08	2.15E+08	1.27E+08	1.50E+08
Q8BG05	Heterogeneous nuclear ribonucleoprotein A3	Hnrnpa3	22	1.22E+08	1.69E+08	1.67E+08	1.44E+08		1.30E+08	1.39E+08	1.64E+08	1.37E+08
P62858	40S ribosomal protein S28	Rps28	8	1.21E+08	1.68E+08	1.09E+08	1.20E+08		1.38E+08	1.11E+08	1.03E+08	1.66E+08
P20152;P31001;Q9DCV7	Vimentin	Des;Krt7;Vim	2	1.84E+08	1.68E+08	1.14E+08	1.07E+08		1.88E+08	1.79E+08	1.19E+08	1.15E+08
P68368	Tubulin alpha-4A chain	Tuba4a	7	1.14E+08	1.67E+08	1.46E+08	1.36E+08		1.49E+08	1.67E+08	6.35E+08	1.70E+08
Q64433	"10 kDa heat shock protein, mitochondrial"	Hspe1	13	1.19E+08	1.67E+08	1.42E+08	1.44E+08		1.27E+08	1.42E+08	1.33E+08	1.65E+08
P62270	40S ribosomal protein S18	Rps18	14	1.63E+08	1.64E+08	1.03E+08	1.14E+08		1.68E+08	1.72E+08	9.60E+07	1.17E+08
Q8VEM8	"Phosphate carrier protein, mitochondrial"	Slc25a3	21	1.31E+08	1.64E+08	1.37E+08	1.70E+08		1.25E+08	1.41E+08	1.60E+08	1.66E+08
Q8VDD5	Myosin-9	Myh9	172	1.40E+08	1.61E+08	1.34E+08	1.43E+08		1.39E+08	1.51E+08	1.28E+08	1.50E+08
P62908	40S ribosomal protein S3	Rps3	26	1.41E+08	1.59E+08	1.27E+08	1.44E+08		1.42E+08	1.58E+08	1.07E+08	1.48E+08
P68372;P99024;Q9D6F9	Tubulin beta-4B chain	Tubb4a;Tubb4b;Tubb5	1	6.57E+07	1.58E+08	1.20E+08	2.22E+08		9.35E+07	1.40E+08	9.69E+07	2.03E+08
P18760;P45591	Cofilin-1	Cfl1;Cfl2	2	1.27E+08	1.58E+08	1.74E+08	1.29E+08		1.17E+08	1.70E+08	1.52E+08	2.41E+08
P27773	Protein disulfide-isomerase A3	Pdia3	46	1.56E+08	1.57E+08	1.44E+08	1.61E+08		1.61E+08	1.44E+08	1.31E+08	1.60E+08
P14206	40S ribosomal protein SA	Rpsa	15	1.37E+08	1.53E+08	1.49E+08	1.25E+08		1.46E+08	1.49E+08	1.24E+08	1.49E+08
P68368;P68373	Tubulin alpha-4A chain	Tuba1c;Tuba4a	6	1.40E+08	1.53E+08	1.48E+08	2.12E+08		1.53E+08	1.37E+08	1.69E+08	2.10E+08
P08249	"Malate dehydrogenase, mitochondrial"	Mdh2	22	1.30E+08	1.52E+08	1.21E+08	1.17E+08		1.30E+08	1.30E+08	1.77E+08	1.32E+08
P62855	40S ribosomal protein S26	Rps26	6	1.39E+08	1.49E+08	1.05E+08	9.86E+07		1.64E+08	1.51E+08	8.27E+07	9.52E+07
Q64522	Histone H2A type 2-B	H2ac21	4	2.35E+08	1.49E+08	2.20E+08	1.51E+08		2.21E+08	1.49E+08	2.08E+08	1.58E+08
P62301	40S ribosomal protein S13	Rps13	12	1.27E+08	1.48E+08	1.22E+08	1.33E+08		1.38E+08	1.50E+08	1.12E+08	1.42E+08
P47911	60S ribosomal protein L6	Rpl6	21	1.41E+08	1.48E+08	1.19E+08	1.29E+08		1.34E+08	1.45E+08	1.16E+08	1.26E+08
P16627;P17156;P17879;P20029;P63017;Q61696	Heat shock 70 kDa protein 1-like	Hspa1a;Hspa1b;Hspa1l;Hspa2;Hspa5;Hspa8	1	1.44E+08	1.47E+08	1.11E+08	1.12E+08		1.40E+08	1.51E+08	1.09E+08	1.22E+08
P62754	40S ribosomal protein S6	Rps6	19	1.36E+08	1.47E+08	9.97E+07	1.18E+08		1.46E+08	1.53E+08	8.91E+07	1.23E+08
P60710;P63260;P63268;P68134;Q8BFZ3	"Actin, cytoplasmic 1"	Acta1;Actb;Actbl2;Actg1;Actg2	8	1.04E+08	1.46E+08	1.23E+08	1.29E+08		1.35E+08	9.58E+07	1.83E+08	1.48E+08
P21107;P58771;P58774	Tropomyosin alpha-3 chain	Tpm1;Tpm2;Tpm3	5	1.05E+08	1.42E+08	1.52E+08	1.22E+08		1.92E+08	1.13E+08	1.51E+08	3.02E+08
P63101	14-3-3 protein zeta/delta	Ywhaz	17	1.52E+08	1.41E+08	1.39E+08	1.47E+08		1.40E+08	1.42E+08	1.26E+08	1.45E+08
Q9CQR2	40S ribosomal protein S21	Rps21	8	1.42E+08	1.39E+08	1.15E+08	8.89E+07		1.45E+08	1.43E+08	1.00E+08	1.07E+08
Q9CR57	60S ribosomal protein L14	Rpl14	11	1.26E+08	1.39E+08	1.05E+08	1.24E+08		1.44E+08	1.50E+08	1.01E+08	1.25E+08
P57780;Q7TPR4	Alpha-actinin-4	Actn1;Actn4	14	1.18E+08	1.30E+08	1.36E+08	1.23E+08		1.21E+08	1.28E+08	1.13E+08	1.30E+08
P60843	Eukaryotic initiation factor 4A-I	Eif4a1	21	8.68E+07	1.27E+08	8.14E+07	1.11E+08		9.73E+07	1.14E+08	6.76E+07	9.65E+07
Q9R0P3	S-formylglutathione hydrolase	Esd	17	1.12E+08	1.26E+08	1.11E+08	9.78E+07		1.18E+08	1.37E+08	9.28E+07	1.23E+08
P48678	Prelamin-A/C	Lmna	71	1.42E+08	1.25E+08	1.35E+08	1.05E+08		1.42E+08	1.25E+08	1.24E+08	1.07E+08
P51881	ADP/ATP translocase 2	Slc25a5	11	7.33E+07	1.25E+08	1.03E+08	1.04E+08		7.16E+07	9.12E+07	1.02E+08	1.19E+08
P63325	40S ribosomal protein S10	Rps10	15	1.21E+08	1.24E+08	8.58E+07	9.42E+07		1.19E+08	1.25E+08	8.48E+07	1.04E+08
P16627;P17156;P20029;P63017	Heat shock 70 kDa protein 1-like	Hspa1l;Hspa2;Hspa5;Hspa8	1	1.13E+08	1.24E+08	1.14E+08	1.41E+08		1.13E+08	1.28E+08	1.26E+08	1.31E+08
P57776	Elongation factor 1-delta	Eef1d	18	9.68E+07	1.23E+08	9.16E+07	8.33E+07		9.95E+07	1.02E+08	9.24E+07	8.69E+07
P14211	Calreticulin	Calr	28	1.39E+08	1.23E+08	1.40E+08	1.15E+08		1.31E+08	1.18E+08	1.16E+08	1.17E+08
P35980	60S ribosomal protein L18	Rpl18	9	1.24E+08	1.23E+08	8.51E+07	9.20E+07		1.34E+08	1.29E+08	8.50E+07	9.19E+07
P68040	Receptor of activated protein C kinase 1	Rack1	23	9.50E+07	1.22E+08	8.77E+07	6.93E+07		9.82E+07	1.03E+08	5.24E+07	9.04E+07
P27659	60S ribosomal protein L3	Rpl3	32	1.19E+08	1.21E+08	1.02E+08	9.24E+07		1.24E+08	1.24E+08	9.03E+07	1.04E+08
P62245	40S ribosomal protein S15a	Rps15a	11	1.03E+08	1.20E+08	9.99E+07	9.74E+07		1.20E+08	1.18E+08	9.61E+07	1.05E+08
P62264	40S ribosomal protein S14	Rps14	10	1.34E+08	1.19E+08	8.66E+07	9.83E+07		1.31E+08	1.32E+08	8.31E+07	1.55E+08
Q01768	Nucleoside diphosphate kinase B	Nme2	9	9.58E+07	1.19E+08	8.45E+07	8.36E+07		1.00E+08	1.24E+08	8.51E+07	9.13E+07
P48036	Annexin A5	Anxa5	31	1.01E+08	1.16E+08	1.14E+08	9.71E+07		1.07E+08	1.10E+08	1.02E+08	1.07E+08
P20029	Endoplasmic reticulum chaperone BiP	Hspa5	55	1.24E+08	1.16E+08	1.29E+08	1.19E+08		1.24E+08	1.04E+08	1.23E+08	1.19E+08
Q6ZWN5	40S ribosomal protein S9	Rps9	18	1.10E+08	1.15E+08	8.27E+07	9.92E+07		1.22E+08	1.21E+08	7.54E+07	9.93E+07
P70296	Phosphatidylethanolamine-binding protein 1	Pebp1	13	9.68E+07	1.15E+08	1.18E+08	9.56E+07		1.04E+08	1.03E+08	1.10E+08	1.07E+08
P61255	60S ribosomal protein L26	Rpl26	11	1.03E+08	1.14E+08	8.40E+07	9.45E+07		1.04E+08	1.15E+08	8.14E+07	9.02E+07
Q99P72	Reticulon-4	Rtn4	32	1.27E+08	1.13E+08	1.26E+08	1.34E+08		1.19E+08	1.26E+08	1.39E+08	1.29E+08
P63242	Eukaryotic translation initiation factor 5A-1	Eif5a	15	6.71E+07	1.13E+08	7.41E+07	7.33E+07		6.77E+07	8.30E+07	5.80E+07	7.78E+07
P48962	ADP/ATP translocase 1	Slc25a4	12	7.88E+07	1.10E+08	1.07E+08	1.10E+08		8.18E+07	9.06E+07	2.24E+08	1.18E+08
P55258;P61027;P61028;P62821;Q9D1G1;Q9DD03	Ras-related protein Rab-8A	Rab10;Rab13;Rab1A;Rab1b;Rab8a;Rab8b	1	9.07E+07	1.10E+08	8.45E+07	9.95E+07		1.03E+08	1.03E+08	8.09E+07	1.03E+08
P05064	Fructose-bisphosphate aldolase A	Aldoa	29	1.26E+08	1.09E+08	1.09E+08	1.15E+08		1.28E+08	1.16E+08	3.95E+08	1.45E+08
Q9CZX8	40S ribosomal protein S19	Rps19	17	7.06E+07	1.09E+08	5.12E+07	6.52E+07		8.45E+07	8.26E+07	4.58E+07	6.44E+07
P62242	40S ribosomal protein S8	Rps8	12	8.07E+07	1.08E+08	9.02E+07	1.02E+08		8.74E+07	9.32E+07	7.67E+07	1.05E+08
P62900	60S ribosomal protein L31	Rpl31	11	1.13E+08	1.07E+08	8.06E+07	8.53E+07		1.14E+08	1.25E+08	8.55E+07	8.54E+07
P62082	40S ribosomal protein S7	Rps7	16	8.58E+07	1.07E+08	8.21E+07	9.30E+07		8.55E+07	1.08E+08	7.75E+07	1.14E+08
P60710;P63260;P68134	"Actin, cytoplasmic 1"	Acta1;Actb;Actg1	2	7.07E+07	1.07E+08	1.55E+08	1.58E+08		1.05E+08	1.54E+08	4.11E+08	1.56E+08
P60867	40S ribosomal protein S20	Rps20	7	1.09E+08	1.05E+08	6.91E+07	7.44E+07		1.19E+08	1.07E+08	5.95E+07	7.62E+07
P35979	60S ribosomal protein L12	Rpl12	10	8.73E+07	1.04E+08	9.53E+07	9.15E+07		8.51E+07	9.11E+07	7.76E+07	9.13E+07
Q8VEK3	Heterogeneous nuclear ribonucleoprotein U	Hnrnpu	45	9.93E+07	1.02E+08	1.05E+08	8.85E+07		9.43E+07	9.59E+07	9.46E+07	8.71E+07
Q501J6;Q61656	Probable ATP-dependent RNA helicase DDX17	Ddx17;Ddx5	7	9.64E+07	1.02E+08	7.91E+07	6.28E+07		9.76E+07	1.02E+08	6.13E+07	6.61E+07
P62702	"40S ribosomal protein S4, X isoform"	Rps4x	22	1.00E+08	1.00E+08	7.77E+07	8.14E+07		1.02E+08	1.10E+08	7.47E+07	8.38E+07
P14148	60S ribosomal protein L7	Rpl7	23	1.09E+08	9.99E+07	7.86E+07	8.27E+07		1.14E+08	1.17E+08	7.52E+07	8.35E+07
Q99K85	Phosphoserine aminotransferase	Psat1	28	9.01E+07	9.95E+07	9.67E+07	8.39E+07		9.96E+07	8.85E+07	7.61E+07	8.92E+07
Q01853	Transitional endoplasmic reticulum ATPase	Vcp	65	8.09E+07	9.94E+07	7.75E+07	7.98E+07		8.42E+07	8.57E+07	7.07E+07	8.29E+07
P07901	Heat shock protein HSP 90-alpha	Hsp90aa1	43	8.36E+07	9.91E+07	8.59E+07	1.08E+08		9.01E+07	9.82E+07	8.04E+07	1.17E+08
P68373;Q9JJZ2	Tubulin alpha-1C chain	Tuba1c;Tuba8	1	5.77E+07	9.81E+07	7.15E+07	6.53E+07		8.57E+07	9.54E+07	4.99E+07	1.01E+08
Q61753	D-3-phosphoglycerate dehydrogenase	Phgdh	30	9.73E+07	9.81E+07	1.02E+08	7.48E+07		9.98E+07	9.18E+07	7.63E+07	8.79E+07
P61979	Heterogeneous nuclear ribonucleoprotein K	Hnrnpk	30	1.12E+08	9.81E+07	1.02E+08	9.75E+07		1.07E+08	1.06E+08	9.22E+07	9.65E+07
P35550	rRNA 2'-O-methyltransferase fibrillarin	Fbl	24	9.95E+07	9.75E+07	9.34E+07	8.22E+07		9.26E+07	9.22E+07	8.57E+07	7.80E+07
P34884	Macrophage migration inhibitory factor	Mif	6	1.39E+08	9.74E+07	8.53E+07	4.64E+07		1.35E+08	1.13E+08	6.17E+07	6.58E+07
P53026	60S ribosomal protein L10a	Rpl10a	19	7.15E+07	9.71E+07	7.19E+07	8.43E+07		7.42E+07	7.93E+07	6.58E+07	9.09E+07
P17182;P17183	Alpha-enolase	Eno1;Eno2	1	1.06E+08	9.42E+07	1.66E+08	1.50E+08		9.64E+07	9.52E+07	1.07E+08	1.50E+08
Q9CXW4	60S ribosomal protein L11	Rpl11	13	8.64E+07	9.41E+07	6.43E+07	5.91E+07		9.26E+07	8.63E+07	5.12E+07	7.31E+07
Q9CZU6	"Citrate synthase, mitochondrial"	Cs	18	8.92E+07	9.41E+07	7.87E+07	7.96E+07		8.81E+07	8.89E+07	1.12E+08	8.39E+07
O08807;P35700	Peroxiredoxin-4	Prdx1;Prdx4	2	9.03E+07	9.40E+07	1.32E+08	1.29E+08		1.03E+08	1.24E+08	1.10E+08	1.21E+08
Q9D8E6	60S ribosomal protein L4	Rpl4	35	7.74E+07	9.40E+07	7.74E+07	8.13E+07		8.79E+07	8.61E+07	7.10E+07	8.75E+07
Q61879;Q8VDD5	Myosin-10	Myh10;Myh9	15	7.82E+07	9.39E+07	7.48E+07	8.30E+07		8.58E+07	9.31E+07	6.53E+07	9.41E+07
P18760	Cofilin-1	Cfl1	17	1.00E+08	9.37E+07	1.09E+08	7.27E+07		1.05E+08	1.25E+08	7.37E+07	8.51E+07
P68368;P68373;Q3UX10;Q9JJZ2	Tubulin alpha-4A chain	Tuba1c;Tuba4a;Tuba8;Tubal3	3	8.22E+07	9.29E+07	6.44E+07	1.17E+08		8.04E+07	8.45E+07	5.75E+07	1.12E+08
Q922R8	Protein disulfide-isomerase A6	Pdia6	20	9.49E+07	9.23E+07	1.15E+08	9.49E+07		9.11E+07	7.63E+07	1.11E+08	8.75E+07
Q99020	Heterogeneous nuclear ribonucleoprotein A/B	Hnrnpab	19	6.41E+07	9.08E+07	6.05E+07	8.45E+07		6.36E+07	7.48E+07	5.27E+07	8.03E+07
